qid,question,gold,pred,scorex,scorey,score,null_odds
5705e26d75f01819005e76d5,"Despite being traditionall described as ""eight counties"", how many counties does this region actually have?",10 counties,10,1.0,1.0,1,-3.119257926940918
5705e26d75f01819005e76d8,The reasons for the las two counties to be added are based on what?,historical political divisions,historical political divisions,1.0,1.0,0,-0.7104753851890561
5ad0178577cf76001a68698b,What additional two counties make ten counties into the traditional definition of SoCal include?,,Kern and San Luis Obispo,0.0,0.0,0,-4.916696071624756
5ad0178577cf76001a68698c,Where is the center of economic activity for the United States?,,Southern California,0.0,0.0,1,-2.491945505142212
5705e33f52bb89140068964e,What is the name of the state that the megaregion expands to in the east?,Nevada,Nevada,1.0,1.0,1,-3.798012256622314
5ad01a6277cf76001a686a0e,How many people live in Riverside? ,,over four million,0.0,0.0,1,-1.93478512763977
5705e4fe75f01819005e7704,What is the name of the water body that is found to the east?,Colorado River,Colorado River,1.0,1.0,1,-4.414095878601074
5705e4fe75f01819005e7705,What is the name of the desert on the border of Arizona?,Colorado Desert,Colorado Desert,1.0,1.0,1,-4.744115352630615
5ad01c8877cf76001a686a65,What desert is to the south near Nevada?,,Mojave Desert,0.0,0.0,0,-3.856767892837524
5705e63175f01819005e7723,What is the eighth most populous city in the nation?,San Diego,San Diego,1.0,1.0,1,-4.540153503417969
5ad01e4677cf76001a686aa6,What are two of the three major cities located in southern California?,,Los Angeles and San Diego,0.0,0.0,0,-3.066280603408813
5705e99452bb891400689689,What country are all the counties in?,United States,United States,1.0,1.0,0,-1.343167066574096
5ad01f0f77cf76001a686ac3,How many populous counties are in the United States?,,15,0.0,0.0,0,-3.153225421905517
5ad01f0f77cf76001a686ac4,"What county are Los Angeles, Orange, San Diego, San Bernardino, and Riverside located in?",,the five most populous in the state,0.0,0.0,1,-2.386950492858886
5705eb3375f01819005e7768,"Other than Universal and Warner Brothers, what other company runs a major record company?",Sony,Sony,1.0,1.0,1,-4.044422626495361
5ad0206677cf76001a686afb,What three industries are centered in Hollywood?,,"motion picture, television, and music",0.0,0.0,0,-2.894037008285522
5ad0206677cf76001a686afd,What major companies are headquartered in Los Angeles? ,,"Walt Disney Company (which also owns ABC), Sony Pictures, Universal, MGM, Paramount Pictures, 20th Century Fox, and Warner Brothers",0.0,0.0,0,-3.582415103912353
5705ec1675f01819005e776e,"Other than surf, what other culture is southern California home to?",skateboard,skateboard,1.0,1.0,1,-4.823408126831055
5705ec1675f01819005e7772,What is the shortened name of the annual yacht race that takes place?,Transpac,Transpac,1.0,1.0,1,-4.246502876281738
5ad0220a77cf76001a686b2a,Where are No Fear and RCVA headquartered?,,Southern California,0.0,0.0,0,-3.894468307495117
5705eccb52bb8914006896b9,Other than the desert city why do many locals and tourists frequent southern California?,beaches,popular beaches,0.0,0.666667,0,-3.181202411651611
5ad0228a77cf76001a686b58,Who visits Palm Springs for the beaches?,,locals and tourists,0.0,0.0,1,-1.702613949775695
5705edcd52bb8914006896ce,Point Conception is an example of a landmark among what boundary of southern California?,northern,Tehachapi Mountains,1.0,1.0,1,-4.794703483581543
5ad02cde77cf76001a686cc6,What country did California once rule?,,Mexico,0.0,0.0,1,-1.201253652572631
5705f13d52bb8914006896f2,In which year did the newspaper change its previous definition?,1999,1900,0.0,0.0,0,-4.160041809082031
