qid,question,gold,pred,scorex,scorey,score,null_odds
5705e26d75f01819005e76d8,The reasons for the las two counties to be added are based on what?,historical political divisions,historical political divisions,1.0,1.0,0,-0.7104753851890561
5705e99452bb891400689689,What country are all the counties in?,United States,United States,1.0,1.0,0,-1.343167066574096
570607f575f01819005e78b5,What is the population of the second largest city in California?,1.3 million,1.3 million,1.0,1.0,0,-1.4875479936599731
57060a1175f01819005e78d3,What characteristic best describes the agricultural regions that could be found?,richest,cattle and citrus,0.0,0.0,0,-2.189355611801147
57060a1175f01819005e78d6,What industry has managed to survive major military spending cutbacks?,aerospace,aerospace,1.0,1.0,0,-2.532187461853027
57060eaf75f01819005e7913,What other business district does Orange County envelop outside of Downtown Santa Ana and Newport Center?,South Coast Metro,South Coast Metro,1.0,1.0,0,-2.2639963626861572
5706111a52bb89140068984f,"A single line connects San Bernardino, Riverside and what other county?",Orange,Orange,1.0,1.0,0,-2.012275695800781
57106185b654c5140001f8db,The term Huguenot was originally meant to confer?,derision,derision,1.0,1.0,0,-2.44157338142395
57107d73b654c5140001f91f,Which French kind issued this declaration?,Louis XIV,Louis XIV,1.0,1.0,0,-2.188952684402466
57107e6ca58dae1900cd69f3,What event was the worst example of Huguenot persecution?,St. Bartholomew's Day massacre,St. Bartholomew's Day massacre,1.0,1.0,0,-0.093340687453746
57108073b654c5140001f928,What King and former Huguenot looked out for the welfare of the group?,Henry IV,Henry IV,1.0,1.0,0,-2.528569459915161
57108198b654c5140001f93b,What country currently has a group who call themselves Huguenots?,Australia,France,0.0,0.0,0,-1.9239776134490962
57108c95b654c5140001f97b,What Huguenot area is designated as a historical landmark?,"Huguenot Street Historic District"" in New Paltz""",Huguenot Street Historic District,1.0,1.0,0,-2.26985239982605
57108d69b654c5140001f985,What was the population of the Dutch Republic before this emigration?,ca. 2 million,ca. 2 million,1.0,1.0,0,-1.878030180931091
571093aba58dae1900cd6a5e,What did the Edict do for Huguenots in France?,granted the Protestants equality with Catholics,reaffirmed Catholicism as the state religion of France,0.0,0.083333,0,-2.624631404876709
5710e8c8a58dae1900cd6b26,Which central European country had a Calvinist ruler?,Prussia,Prussia,1.0,1.0,0,-1.751455068588256
5710f114a58dae1900cd6b60,What English law made that country more welcoming to Huguenots?,Foreign Protestants Naturalization Act,Foreign Protestants Naturalization Act,1.0,1.0,0,-2.194566965103149
5725b5a689a1e219009abd29,How did the Nixon administration negotiate with the uncooperative countries?,They arranged for Israel to pull back from the Sinai Peninsula and the Golan Heights.,multilateral negotiations,1.0,1.0,0,-1.113643646240234
5725b76389a1e219009abd4e,Why did oil start getting priced in terms of gold?,"oil was priced in dollars, oil producers' real income decreased",oil producers' real income decreased,0.0,0.666667,0,-2.538902759552002
5725bad5271a42140099d0bf,How many times more did the other nations have to pay for oil after the surprise attack?,ten times more,ten,1.0,1.0,0,-1.58604896068573
57265360dd62a815002e819c,"To force Japan to be more involved in the crisis, what did Saudi and Kuwaiti government do?",5% production cut,"declared Japan a nonfriendly"" country""",1.0,1.0,0,-0.987126529216766
57265526708984140094c2c0,When did the Shah kingdom start to collapse?,January 1979,January 1979,1.0,1.0,0,-2.452825546264648
5728d4c03acd2414000dffa3,What civil rights movement in the US was known for it's disobedience?,American Civil Rights Movement,the Singing Revolution,0.0,0.0,0,-2.3167941570281982
