qid,question,gold,pred,scorex,scorey
"5705e26d75f01819005e76d4","What is Southern California often abbreviated as?","SoCal","SoCal",1.000000,1.000000
"5705e26d75f01819005e76d5","Despite being traditionall described as \"eight counties\", how many counties does this region actually have?","10 counties","10",1.000000,1.000000
"5705e26d75f01819005e76d6","What is a major importance of Southern California in relation to California and the United States?","economic center","economic center",1.000000,1.000000
"5705e26d75f01819005e76d7","What are the ties that best described what the "eight counties" are based on?","demographics and economic ties","demographics and economic",1.000000,1.000000
"5705e26d75f01819005e76d8","The reasons for the las two counties to be added are based on what?","historical political divisions","historical political divisions",1.000000,1.000000
"5ad0178577cf76001a68698a","What counties does the more extensive eight county definition of SoCal include?","","Imperial, Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara, and Ventura",0.000000,0.000000
"5ad0178577cf76001a68698b","What additional two counties make ten counties into the traditional definition of SoCal include?","","Kern and San Luis Obispo",0.000000,0.000000
"5ad0178577cf76001a68698c","Where is the center of economic activity for the United States?","","Southern California",0.000000,0.000000
"5705e33f52bb89140068964c","What is the name of the region that is not defined by the eight or 10 county definitions?","Southern California Megaregion","greater Southern California Megaregion",1.000000,1.000000
"5705e33f52bb89140068964d","How many megaregions are there in the United States?","11","11",1.000000,1.000000
"5705e33f52bb89140068964e","What is the name of the state that the megaregion expands to in the east?","Nevada","Nevada",1.000000,1.000000
"5705e33f52bb89140068964f","Which border does the megaregion extend over?","Mexican","Mexican border",0.000000,0.666667
"5705e33f52bb891400689650","What is the name of the area past the border that the megaregion extends into?","Tijuana","Tijuana",1.000000,1.000000
"5ad0185a77cf76001a6869b8","What is one of the 10 megaregions in the United States?","","greater Southern California Megaregion",0.000000,0.000000
"5ad0185a77cf76001a6869b9","Where does the 8 county megaregion extend from?","","east into Las Vegas, Nevada",0.000000,0.000000
"5ad0185a77cf76001a6869ba","What is Las Vegas one of in the United States?","","megaregions",0.000000,0.000000
"5705e3f252bb89140068966a","Which coastline does Southern California touch?","Pacific","Pacific coast",0.000000,0.666667
"5705e3f252bb89140068966b","How many metropolitan areas does Southern California's population encompass?","seven","seven",1.000000,1.000000
"5705e3f252bb89140068966c","How many inhabitants does the Los Angeles area contain?","12 million","over 12 million",0.000000,0.857143
"5705e3f252bb89140068966d","Which of the three heavily populated areas has the least number of inhabitants?","San Diego","Riverside-San Bernardino",0.000000,0.000000
"5705e3f252bb89140068966e","How many people does the Greater Los Angeles Area have?","17.5 million","over 17.5 million",1.000000,1.000000
"5ad01a6277cf76001a686a0c","What percent of California's 22 million people live in southern California?","","60",0.000000,0.000000
"5ad01a6277cf76001a686a0d","What does MAS stand for?","","MSAs",0.000000,0.000000
"5ad01a6277cf76001a686a0e","How many people live in Riverside? ","","over four million",0.000000,0.000000
"5ad01a6277cf76001a686a0f","What does CSA stand for?","","CSA",0.000000,0.000000
"5705e4fe75f01819005e7704","What is the name of the water body that is found to the east?","Colorado River","Colorado River",1.000000,1.000000
"5705e4fe75f01819005e7705","What is the name of the desert on the border of Arizona?","Colorado Desert","Colorado Desert",1.000000,1.000000
