qid,question_answer
5705e26d75f01819005e76d5,"Despite being traditionall described as 'eight counties', does this region actually have 10 counties?"
5705e26d75f01819005e76d8,"Were the las two counties to be added based on historical political divisions?"
5ad0178577cf76001a68698b,"Do additional two counties Kern and San Luis Obispo make ten counties into the traditional definition of SoCal?"
5ad0178577cf76001a68698c,"Is Southern California the center of economic activity for the United States?"
5705e33f52bb89140068964e,"What is the name of the state that the megaregion expands to in the east?"
5ad01a6277cf76001a686a0e,"Do over four million people live in Riverside?" 
5705e4fe75f01819005e7704,"Is the name of the water body that is found to the east Colorado River?"
5705e4fe75f01819005e7705,"Is the name of the desert on the border of Arizona Colorado Desert?"
5ad01c8877cf76001a686a65,"Is Mojave Desert to the south near Nevada?"
5705e63175f01819005e7723,"Is San Diego the eighth most populous city in the nation?"
5ad01e4677cf76001a686aa6,"Are Los Angeles and San Diego two of the three major cities located in southern California?"
5705e99452bb891400689689,"Are all the counties in United States?"
5ad01f0f77cf76001a686ac3,"Are there 15 populous counties are in the United States?"
5ad01f0f77cf76001a686ac4,"Are Los Angeles, Orange, San Diego, San Bernardino, and Riverside located in the five most populous in the state?"
5705eb3375f01819005e7768,"Other than Universal and Warner Brothers, does Sony run a major record company?"
5ad0206677cf76001a686afb,"Are motion picture, television, and music three industries are centered in Hollywood?"
5ad0206677cf76001a686afd,"Is Walt Disney Company (which also owns ABC), Sony Pictures, Universal, MGM, Paramount Pictures, 20th Century Fox, and Warner Brothers headquartered in Los Angeles?" 
5705ec1675f01819005e776e,"Other than surf, is southern California home to skateboard?"
5705ec1675f01819005e7772,"Is Transpac the shortened name of the annual yacht race that takes place?"
5ad0220a77cf76001a686b2a,"Are No Fear and RCVA headquartered in Southern California?"
5705eccb52bb8914006896b9,"Other than the desert city do many locals and tourists frequent southern California because popular beaches?"
5ad0228a77cf76001a686b58,"Do locals and tourists visit Palm Springs for the beaches?"
5705edcd52bb8914006896ce,"Point Conception is an example of a landmark among what the Tehachapi Mountains boundary of southern California?"
5ad02cde77cf76001a686cc6,"Did California once rule Mexico?"
5705f13d52bb8914006896f2,"Did the newspaper change its previous definition in year 1900?"
5705f36452bb89140068971b,"Does the Tehachapis mountain range influenced the split of the regions?"
5ad02ff177cf76001a686da2,"Is the California Automobile State Association a AAA Auto Club?"
5ad02ff177cf76001a686da5,"Do regional tourist groups divide California into only north and central regions?"
5ad0316a77cf76001a686de4,"Are the second and third most populated megalopolis after Southern California the Great Lakes Megalopolis?"
5705fc3a52bb89140068976c,"Is the low end of the temperature range in summer 90-60's?"
5705fc3a52bb89140068976e,"Is the high end of the temperature range in winter 70-50's?"
5705fd8475f01819005e7840,"Does the term geologic, topographic, and natural ecosystem best describes southern California's collection of landscapes?"
5705fd8475f01819005e7844,"Do the mountain ranges tail off into interior valleys?"
5ad0394877cf76001a686e57,"Does the Pacific ocean have the Transverse and Peninsular Ranges?"
5ad0394877cf76001a686e59,"Does Southern California have the most diversity of anywhere in the country?"
5705ffde52bb891400689788,"Does the earthquake forecast model occurrence of earthquakes in California?"
5ad0410977cf76001a686efe,"Are regions anchored a city that are recognized globally?"
5ad0410977cf76001a686eff,"Are the globally recognized anchor cities known for the hub of economic activity for its respective region and being home to many tourist destinations?"
570603c475f01819005e7883,"Does southern California have a reputation for high growth rates?"
570603c475f01819005e7886,"Did Greater Sacramento begin to grow and assert itself in the 2000s?"
5ad0421177cf76001a686f15,"Did southern California grow by 10.00% in the year 2000?"
570607f575f01819005e78b4,"Is Los Angeles the largest city in all of California?"
570607f575f01819005e78b5,"Is the population of the second largest city in California 1.3 million?"
570607f575f01819005e78b8,"Other than San Bernardino, is the other developed southern Californian city not in close proximity to the coast Riverside?"
57060a1175f01819005e78d3,"Does cattle and citrus best describes the agricultural regions that could be found?"
57060a1175f01819005e78d4,"Was the argricultural region known for cattle?"
57060a1175f01819005e78d5,"Outside of livestock, was citrus considered a major industry in the agriculture regions?"
57060a1175f01819005e78d6,"Has aerospace managed to survive major military spending cutbacks?"
5ad0470477cf76001a686f82,"Are additional business districts Century City, Westwood and Warner Center in downtown Los Angeles itself?"
57060df252bb891400689821,"Other than San Bernardino, is Riverside the name of the other city that maintains the districts including University Town?"
57060eaf75f01819005e7912,"Does Jamboree Business Parks belong to West Irvine business center?"
